Short name,Num LSTM layers,Length of input sequences,Hidden size of each LSTM layer,A100 Total time 1k runs (s),A100 Average time (s),Groq SL=8 Projected time 1k runs,Groq SL=8 Average time (s)
l1s128h64,1,128,64,0.746012,0.000746012,0.08621619083,8.62E-05
l4s128h256,4,128,256,5.77095,0.00577095,0.275392767,2.75E-04
l3s64h64,3,64,64,1.08874,0.00108874,0.0910096392,9.10E-05
l4s256h300,4,256,300,16.0921,0.0160921,0.5856909119,5.86E-04
l2s200h256,2,200,256,4.33196,0.00433196,0.2390678477,2.39E-04
l3s200h32,3,200,32,2.8897,0.0028897,0.278894775,2.79E-04
l2s64h64,2,64,64,0.738225,0.000738225,0.06568884011,6.57E-05
l4s128h64,4,128,64,2.60778,0.00260778,0.2321234401,2.32E-04
l1s128h128,1,128,128,0.904381,0.000904381,0.08758409694,8.76E-05
l1s128h100,1,128,100,0.911337,0.000911337,0.08567076735,8.57E-05
l2s256h400,2,256,400,10.5894,0.0105894,0.6577700153,6.58E-04
l1s128h300,1,128,300,2.1013,0.0021013,0.09538686275,9.54E-05
l3s200h200,3,200,200,5.92087,0.00592087,0.3226882254,3.23E-04
l1s256h256,1,256,256,2.90953,0.00290953,0.1828972176,1.83E-04
l1s64h64,1,64,64,0.423182,0.000423182,0.04351868015,4.35E-05
l4s256h100,4,256,100,6.77791,0.00677791,0.4864322543,4.86E-04
l4s256h128,4,256,128,6.44245,0.00644245,0.5083219521,5.08E-04
l2s32h256,2,32,256,0.843054,0.000843054,0.03823244805,3.82E-05
l1s200h400,1,200,400,4.35565,0.00435565,0.2494328975,2.49E-04
l4s32h128,4,32,128,1.00346,0.00100346,0.06351432018,6.35E-05
l4s32h100,4,32,100,0.995462,0.000995462,0.06074520433,6.07E-05
l4s200h64,4,200,64,4.12007,0.00412007,0.3627808241,3.63E-04
l6s64h100,6,64,100,2.59777,0.00259777,0.1748833032,1.75E-04
l6s64h128,6,64,128,2.52666,0.00252666,0.182907016,1.83E-04
l3s128h100,3,128,100,2.66587,0.00266587,0.1905018725,1.91E-04
l6s64h64,6,64,64,2.04598,0.00204598,0.1665651118,1.67E-04
l3s128h128,3,128,128,2.42051,0.00242051,0.1983985435,1.98E-04
l3s64h128,3,64,128,1.30812,0.00130812,0.09901742358,9.90E-05
l3s64h100,3,64,100,1.39151,0.00139151,0.09509820864,9.51E-05
l1s32h100,1,32,100,0.326808,0.000326808,0.02143392758,2.14E-05
l1s200h64,1,200,64,1.10567,0.00110567,0.1359997754,1.36E-04
l2s256h200,2,256,200,4.87722,0.00487722,0.2934368961,2.93E-04
l1s32h128,1,32,128,0.323491,0.000323491,0.02192623634,2.19E-05
l3s128h32,3,128,32,1.92196,0.00192196,0.1764080003,1.76E-04
l4s64h64,4,64,64,1.43034,0.00143034,0.1160614556,1.16E-04
l2s64h200,2,64,200,1.36333,0.00136333,0.07332568057,7.33E-05
l3s200h400,3,200,400,13.8128,0.0138128,0.7771825243,7.77E-04
l1s32h300,1,32,300,0.637856,0.000637856,0.02382781589,2.38E-05
l3s128h300,3,128,300,6.02596,0.00602596,0.2276235353,2.28E-04
l1s200h200,1,200,200,2.15951,0.00215951,0.1372024999,1.37E-04
l3s256h256,3,256,256,8.22061,0.00822061,0.4279501438,4.28E-04
l2s256h64,2,256,64,2.55313,0.00255313,0.2621987537,2.62E-04
l4s32h300,4,32,300,2.0917,0.0020917,0.07318303222,7.32E-05
l3s200h300,3,200,300,9.09861,0.00909861,0.3554567491,3.55E-04
l1s32h400,1,32,400,0.777244,0.000777244,0.04022015585,4.02E-05
l4s64h256,4,64,256,2.91501,0.00291501,0.1376239918,1.38E-04
l1s128h200,1,128,200,1.47128,0.00147128,0.08761584014,8.76E-05
l1s256h32,1,256,32,1.31659,0.00131659,0.1743002236,1.74E-04
l6s32h256,6,32,256,2.32177,0.00232177,0.09940941585,9.94E-05
l3s128h400,3,128,400,8.3331,0.0083331,0.4973945748,4.97E-04
l6s32h32,6,32,32,1.11991,0.00111991,0.08070259215,8.07E-05
l3s32h256,3,32,256,1.20478,0.00120478,0.05351328431,5.35E-05
l4s256h32,4,256,32,5.01763,0.00501763,0.4498207681,4.50E-04
l1s64h256,1,64,256,0.843317,0.000843317,0.04570949543,4.57E-05
l4s32h400,4,32,400,2.81842,0.00281842,0.1664352282,1.66E-04
l2s200h32,2,200,32,2.00487,0.00200487,0.1986447489,1.99E-04
l4s256h200,4,256,200,12.7839,0.0127839,0.5322863348,5.32E-04
l3s200h128,3,200,128,3.77847,0.00377847,0.3096652741,3.10E-04
l3s200h100,3,200,100,3.97403,0.00397403,0.2970771515,2.97E-04
l4s32h32,4,32,32,0.779901,0.000779901,0.05623272015,5.62E-05
l1s128h400,1,128,400,2.77042,0.00277042,0.1596671529,1.60E-04
l2s256h128,2,256,128,3.10745,0.00310745,0.2861697301,2.86E-04
l2s64h300,2,64,300,2.17093,0.00217093,0.08039100748,8.04E-05
l1s32h200,1,32,200,0.475079,0.000475079,0.02182995994,2.18E-05
l2s256h100,2,256,100,3.3473,0.0033473,0.2742112018,2.74E-04
l3s64h200,3,64,200,2.06857,0.00206857,0.1032061512,1.03E-04
l2s32h32,2,32,32,0.4699,0.0004699,0.03183764033,3.18E-05
l6s64h200,6,64,200,3.90672,0.00390672,0.1928353282,1.93E-04
l3s256h64,3,256,64,3.91432,0.00391432,0.3640751988,3.64E-04
l4s32h200,4,32,200,1.39413,0.00139413,0.066531552,6.65E-05
l1s200h300,1,200,300,3.18228,0.00318228,0.1487349742,1.49E-04
l3s32h32,3,32,32,0.600723,0.000600723,0.04404536029,4.40E-05
l3s128h200,3,128,200,3.85604,0.00385604,0.206919631,2.07E-04
l1s200h100,1,200,100,1.42071,0.00142071,0.1399962988,1.40E-04
l1s200h128,1,200,128,1.32867,0.00132867,0.1365174248,1.37E-04
l4s256h400,4,256,400,21.3173,0.0213173,1.331551999,1.33E-03
l2s128h32,2,128,32,1.32242,0.00132242,0.127375681,1.27E-04
l2s128h256,2,128,256,2.90996,0.00290996,0.1526866239,1.53E-04
l1s32h32,1,32,32,0.268329,0.000268329,0.02172389207,2.17E-05
l4s200h256,4,200,256,9.82899,0.00982899,0.4300925269,4.30E-04
l2s64h128,2,64,128,0.897067,0.000897067,0.07138851192,7.14E-05
l2s256h300,2,256,300,7.89156,0.00789156,0.3231531195,3.23E-04
l2s64h100,2,64,100,0.902266,0.000902266,0.06840068009,6.84E-05
l4s128h200,4,128,200,5.0114,0.0050114,0.2661143672,2.66E-04
l1s128h32,1,128,32,0.73515,0.00073515,0.08655665629,8.66E-05
l3s64h32,3,64,32,1.07662,0.00107662,0.08800818399,8.80E-05
l1s64h128,1,64,128,0.526847,0.000526847,0.0436300477,4.36E-05
l1s64h100,1,64,100,0.508105,0.000508105,0.0427875435,4.28E-05
l2s200h200,2,200,200,3.96214,0.00396214,0.229231501,2.29E-04
l3s200h64,3,200,64,2.97361,0.00297361,0.2845406008,2.85E-04
l3s32h100,3,32,100,0.772169,0.000772169,0.04757261975,4.76E-05
l3s32h128,3,32,128,0.747991,0.000747991,0.04950207192,4.95E-05
l2s64h32,2,64,32,0.75487,0.00075487,0.06356552057,6.36E-05
l4s128h32,4,128,32,2.63396,0.00263396,0.2253046408,2.25E-04
l6s32h128,6,32,128,1.44252,0.00144252,0.09144149208,9.14E-05
l6s32h100,6,32,100,1.4023,0.0014023,0.08740873635,8.74E-05
l4s64h100,4,64,100,1.7371,0.0017371,0.1214958569,1.21E-04
l4s64h128,4,64,128,1.77602,0.00177602,0.1269864002,1.27E-04
l6s32h300,6,32,300,3.10278,0.00310278,0.10627922,1.06E-04
l3s200h256,3,200,256,7.51422,0.00751422,0.3345785255,3.35E-04
l1s256h200,1,256,200,2.68164,0.00268164,0.1743738577,1.74E-04
l1s64h32,1,64,32,0.422293,0.000422293,0.04350224789,4.35E-05
l3s32h300,3,32,300,1.62941,0.00162941,0.05693279207,5.69E-05
l3s256h400,3,256,400,16.214,0.016214,0.9947287701,9.95E-04
l1s64h300,1,64,300,1.02068,0.00102068,0.0476755444,4.77E-05
l2s32h200,2,32,200,0.745434,0.000745434,0.03675971972,3.68E-05
l2s200h400,2,200,400,8.49098,0.00849098,0.5138660985,5.14E-04
l4s200h32,4,200,32,3.83648,0.00383648,0.3517420526,3.52E-04
l6s64h32,6,64,32,2.01894,0.00201894,0.1614166321,1.61E-04
l4s128h400,4,128,400,12.1588,0.0121588,0.6657953449,6.66E-04
l2s256h256,2,256,256,5.53965,0.00553965,0.305411648,3.05E-04
l1s200h32,1,200,32,1.05992,0.00105992,0.1351788,1.35E-04
l4s200h300,4,200,300,12.0695,0.0120695,0.4576097737,4.58E-04
l2s128h300,2,128,300,4.14436,0.00414436,0.1608275194,1.61E-04
l3s128h64,3,128,64,2.01611,0.00201611,0.182263745,1.82E-04
l2s128h128,2,128,128,1.71165,0.00171165,0.1432829928,1.43E-04
l2s128h100,2,128,100,1.66015,0.00166015,0.1371110398,1.37E-04
l1s256h400,1,256,400,5.65019,0.00565019,0.3192539848,3.19E-04
l4s64h32,4,64,32,1.35652,0.00135652,0.1124383043,1.12E-04
l2s64h256,2,64,256,1.49529,0.00149529,0.07667886373,7.67E-05
l4s200h128,4,200,128,5.0242,0.0050242,0.3971202008,3.97E-04
l4s200h100,4,200,100,5.35214,0.00535214,0.3798163496,3.80E-04
l1s200h256,1,200,256,2.26729,0.00226729,0.1435658749,1.44E-04
l2s32h400,2,32,400,1.4797,0.0014797,0.08241282776,8.24E-05
l3s256h200,3,256,200,9.60024,0.00960024,0.4131247662,4.13E-04
l2s256h32,2,256,32,2.50379,0.00250379,0.2545166388,2.55E-04
l1s256h300,1,256,300,4.02648,0.00402648,0.1907351352,1.91E-04
l4s64h200,4,64,200,2.59308,0.00259308,0.1331135035,1.33E-04
l6s32h200,6,32,200,2.09932,0.00209932,0.09641854372,9.64E-05
l1s256h64,1,256,64,1.38315,0.00138315,0.1850843169,1.85E-04
l1s128h256,1,128,256,1.51791,0.00151791,0.09157561697,9.16E-05
l4s128h100,4,128,100,3.39074,0.00339074,0.2429952323,2.43E-04
l6s32h64,6,32,64,1.18147,0.00118147,0.08325915597,8.33E-05
l4s128h128,4,128,128,3.23348,0.00323348,0.2542187199,2.54E-04
l4s256h64,4,256,64,5.07605,0.00507605,0.4644255675,4.64E-04
l3s32h200,3,32,200,1.09053,0.00109053,0.05160532007,5.16E-05
l1s64h200,1,64,200,0.725477,0.000725477,0.04383323248,4.38E-05
l2s200h100,2,200,100,2.59902,0.00259902,0.2134553506,2.13E-04
l2s200h128,2,200,128,2.42206,0.00242206,0.2235539519,2.24E-04
l2s32h300,2,32,300,1.10876,0.00110876,0.04012802802,4.01E-05
l2s200h64,2,200,64,2.04223,0.00204223,0.205053651,2.05E-04
l2s32h100,2,32,100,0.515805,0.000515805,0.03416832397,3.42E-05
l2s32h128,2,32,128,0.555808,0.000555808,0.03575029597,3.58E-05
l2s200h300,2,200,300,6.79681,0.00679681,0.2508541511,2.51E-04
l4s256h256,4,256,256,11.1932,0.0111932,0.5503549762,5.50E-04
l4s128h300,4,128,300,8.59811,0.00859811,0.2929049768,2.93E-04
l4s200h400,4,200,400,16.8465,0.0168465,1.040094823,1.04E-03
l2s128h400,2,128,400,5.9512,0.0059512,0.3289078884,3.29E-04
l4s32h64,4,32,64,0.833481,0.000833481,0.05800353643,5.80E-05
l1s256h128,1,256,128,1.73862,0.00173862,0.1743225902,1.74E-04
l1s256h100,1,256,100,1.70764,0.00170764,0.1718170233,1.72E-04
l6s32h400,6,32,400,4.27512,0.00427512,0.2510378561,2.51E-04
l1s32h256,1,32,256,0.472124,0.000472124,0.02293558419,2.29E-05
l3s64h256,3,64,256,2.2473,0.0022473,0.1070804885,1.07E-04
l2s32h64,2,32,64,0.486306,0.000486306,0.03285366436,3.29E-05
l6s64h256,6,64,256,4.33408,0.00433408,0.1988325836,1.99E-04
l4s32h256,4,32,256,1.59138,0.00159138,0.06878699223,6.88E-05
l3s256h32,3,256,32,3.64509,0.00364509,0.3530866876,3.53E-04
l3s32h400,3,32,400,2.14854,0.00214854,0.124332712,1.24E-04
l3s256h300,3,256,300,12.1156,0.0121156,0.4554719664,4.55E-04
l3s32h64,3,32,64,0.623529,0.000623529,0.04551629582,4.55E-05
l3s128h256,3,128,256,4.79214,0.00479214,0.2140772976,2.14E-04
l3s256h100,3,256,100,5.14042,0.00514042,0.3801938556,3.80E-04
l3s256h128,3,256,128,4.81115,0.00481115,0.3964191042,3.96E-04
l2s128h64,2,128,64,1.38152,0.00138152,0.1311472803,1.31E-04
l2s128h200,2,128,200,2.50813,0.00250813,0.1467460785,1.47E-04
l1s32h64,1,32,64,0.279635,0.000279635,0.02171791997,2.17E-05
l4s200h200,4,200,200,7.71097,0.00771097,0.4157846997,4.16E-04
